question_title,question_order,name,model_tag,tags,type,mean,median,std,sem,ci_95
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_f3_script4_clean_35_confroom1_Uber_ch5.wav,not_synthetic,DDS_f3_script4_clean_35_confroom1_Uber_ch5.wav;female;not_synthetic,A,3.8,4.0,0.4,0.2,0.555
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_f3_script4_clean_35_confroom1_Uber_ch5-enhanced-100p.wav,not_synthetic,DDS_f3_script4_clean_35_confroom1_Uber_ch5.wav;female;not_synthetic,A,4.8,5.0,0.4,0.2,0.555
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_m8_script5_clean_12_office1_Marantz_ch2.wav,not_synthetic,DDS_m8_script5_clean_12_office1_Marantz_ch2.wav;male;not_synthetic,A,3.0,3.0,0.894,0.447,1.242
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,p261_024_mic1_0_noisy-enhanced-100p.wav,synthetic,p261_024_mic1_0_noisy.wav;female;synthetic,A,4.4,5.0,0.8,0.4,1.111
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,p261_024_mic1_0_noisy.wav,synthetic,p261_024_mic1_0_noisy.wav;female;synthetic,A,3.0,4.0,1.265,0.632,1.756
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_f10_script2_clean_35_office1_Uber_ch3.wav,not_synthetic,DDS_f10_script2_clean_35_office1_Uber_ch3.wav;female;not_synthetic,A,4.4,4.0,0.49,0.245,0.68
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,Aija.wav,not_synthetic,Aija.wav;female;not_synthetic,A,3.4,4.0,0.8,0.4,1.111
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,p305_126_mic2_0_noisy.wav,synthetic,p305_126_mic2_0_noisy.wav;female;synthetic,A,1.8,2.0,0.748,0.374,1.039
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,DDS_f7_script5_clean_37_waitingroom1_Marantz_ch6.wav,not_synthetic,DDS_f7_script5_clean_37_waitingroom1_Marantz_ch6.wav;female;not_synthetic,A,4.2,5.0,1.166,0.583,1.619
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,Monika.wav,not_synthetic,Monika.wav;female;not_synthetic,A,4.6,5.0,0.49,0.245,0.68
Attending **ONLY to the SPEECH SIGNAL**, select the category which best describes the sample you just heard.,1,f2_script3_produced_5_noisy-enhanced-100p.wav,synthetic,f2_script3_produced_5_noisy.wav;female;synthetic,A,3.8,4.0,0.748,0.374,1.039
